cw_date,cw_id,선호그룹,메타그룹,카피라이팅,평균,매력성,자연스러움,적합성,길이,종결어미
2024-02-01,4000000,패션소품,"패션소품, 지갑",화려한 겨울 코디에 어울리는 고품격 패션소품,8.75,9,8,8,10,P
2024-02-01,4000001,패션소품,"패션소품, 지갑","고품격의 겨울 코디, 고급스러운 패션소품 특별전",8.25,8,7,8,10,P
2024-02-01,4000002,패션소품,"패션소품, 지갑","트렌디한 모던, 겨울 스타일의 패션소품",7.75,8,5,8,10,P
2024-02-01,4000003,패션소품,"패션소품, 지갑",트렌디한 아트로 코드드 세련된 겨울 감성,7.5,7,8,5,10,P
2024-02-01,4000004,패션소품,"패션소품, 지갑",유니크한 패션으로 겨울 코디 완성,7.25,5,6,8,10,P
2024-02-01,4000005,패션소품,"패션소품, 지갑",현대적인 겨울 코디 감성 돋보기,5.75,3,4,6,10,P
2024-02-01,4000006,패션소품,"패션소품, 지갑",심플한 디자인이 겨울 스타일의 꽃처럼 피어나는 캐주얼한 패션소품,4.5,4,5,8,1,P
2024-02-01,4000007,패션소품,"패션소품, 지갑","겨울 스타일링 가능한 유니크한 패션소품, 모던한 느끼다",0.0,8,5,5,6,F
2024-02-01,4000008,패션소품,"패션소품, 지갑","스타일리시한 패션소품, 하얀 눈과 어울리는 겨울 코디에 더해주세요",0.0,8,5,8,0,F
2024-02-01,4000009,패션소품,"패션소품, 지갑","유니크한 겨울 스타일의 패션소품, 고품격의 캐주얼 감성을 느껴보세요",0.0,8,7,8,0,F
2024-02-01,4001000,패션소품,"패션소품, 쥬얼리","유니크한 패션, 겨울 감성 강조",8.5,8,8,8,10,P
2024-02-01,4001001,패션소품,"패션소품, 쥬얼리",겨울 코디에 어울리는 착용하기 패션소품,8.25,8,7,8,10,P
2024-02-01,4001002,패션소품,"패션소품, 쥬얼리","화려한 겨울 스타일링, 고품격 패션소품",8.25,8,7,8,10,P
2024-02-01,4001003,패션소품,"패션소품, 쥬얼리",신비로운 흐름에 맞춰 겨울 코디 완성하기,8.0,8,7,7,10,P
2024-02-01,4001004,패션소품,"패션소품, 쥬얼리",겨울 코디에 화려한 패션소품 선물,7.75,7,5,9,10,P
2024-02-01,4001005,패션소품,"패션소품, 쥬얼리","겨울 감성 고급 패션, 특별한 아이덴티티 완성",7.25,4,7,8,10,P
2024-02-01,4001006,패션소품,"패션소품, 쥬얼리","세련된 패션소품, 겨울 스타일링을 위한 추운 겨울에 적합한",6.25,8,7,6,4,P
