brad_date,prod_id,ch_no,ch_nm,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price
2024-01-29,4861706486580,42,NS Shop+,2024-01-29 00:03:00,2024-01-29 00:22:58,동양생명 NEW 실속 하나로 암보험,여행/보험/렌탈/티켓,보험,보험/상조,동양생명,보험,http://product-image.prod-nsmall.com/itemimg9/33/769/33826769_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33826769,0,1
2024-01-29,3081706487300,2,NS홈쇼핑,2024-01-29 00:15:00,2024-01-29 00:34:58,하나손해보험 건강하면 더 좋은 하나의 보험+(상담완료시)온열매트,여행/보험/렌탈/티켓,보험,보험/상조,하나손해보험,보험,http://product-image.prod-nsmall.com/itemimg0/33/880/33756880_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33756880,0,1
2024-01-29,4861706487780,42,NS Shop+,2024-01-29 00:23:00,2024-01-29 00:42:58,동양생명 NEW 실속 하나로 암보험,여행/보험/렌탈/티켓,보험,보험/상조,동양생명,보험,http://product-image.prod-nsmall.com/itemimg9/33/769/33826769_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33826769,0,1
2024-01-29,3151706487900,34,W쇼핑,2024-01-29 00:25:00,2024-01-29 00:51:18,Why 옴부즈맨,기타,미분류,미분류,없음,없음,http://img.w-shopping.co.kr/goods2022/461/01/10001461_p.jpg,https://m.w-shopping.co.kr/display/goods/10001461?mediaCode=OT08,0,0
2024-01-29,3261706488020,20,신세계쇼핑,2024-01-29 00:27:00,2024-01-29 01:27:28,[시공] 한샘 리하우스 스타일 에디션 (시공완료시 적립금 15만P),가구/홈데코,시공,시공,한샘,리하우스 스타일 에디션,http://img.shinsegaetvshopping.com/goods/635/20049635_g_20190627131600.jpg,http://m.shinsegaetvshopping.com/display/detail/20049635?inMediaCode=MC02,0,0
2024-01-29,3951706488260,12,KT알파 쇼핑,2024-01-29 00:31:00,2024-01-29 01:30:58,1일1레몬 유기농 레몬즙 6박스,식품/건강,건강식품,기타영양제,유기농,레몬즙,http://imgs.kshop.co.kr//d2/product/emc/202312/27/76/186/2776186_550_20231201104230.jpg,http://m.kshop.co.kr/display/mc/product/2912139?with_code=000004&utm_source=hsmoa_ep&utm_medium=cps&utm_campaign=prd_01_%EC%8B%9D%ED%92%88%2F%EA%B1%B4%EA%B0%95_2912139&utm_content=mo_schedule,99900,82370
2024-01-29,2291706488320,30,쇼핑엔티,2024-01-29 00:32:00,2024-01-29 01:30:58,(무)AXA마일리지운전자보험(사은품 두유제조기),여행/보험/렌탈/티켓,보험,보험/상조,AXA마일리지운전자보험,보험,http://img.shoppingntmall.com/goods/841/14199841_h.jpg,http://m.shoppingntmall.com/display/goods/14199841?mediaCode=TV02A,-1,0
2024-01-29,3081706488500,2,NS홈쇼핑,2024-01-29 00:35:00,2024-01-29 00:54:58,하나손해보험 건강하면 더 좋은 하나의 보험+(상담완료시)온열매트,여행/보험/렌탈/티켓,보험,보험/상조,하나손해보험,보험,http://product-image.prod-nsmall.com/itemimg0/33/880/33756880_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33756880,0,1
2024-01-29,2311706488680,28,GS MY SHOP,2024-01-29 00:38:00,2024-01-29 01:37:58,여에스더 글루타치온 다이렉트 5X 12박스 (총 360매),식품/건강,건강식품,기타영양제,여에스더,글루타치온,https://asset.m-gs.kr/prod/1025132296/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLH&gourl=/prd/prd.gs?prdid=1025132296,394000,394000
2024-01-29,4861706488800,42,NS Shop+,2024-01-29 00:40:00,2024-01-29 00:59:58,완도손질통찜전복(중) 총 4미 (140g(4미)X1팩),식품/건강,수산물,해산물/어패류,완도손질통찜전복,전복,http://product-image.prod-nsmall.com/itemimg1/33/221/33855221_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33855221,10900,10900
2024-01-29,4401706488800,32,LOTTE OneTV,2024-01-29 00:40:00,2024-01-29 01:19:58,컵수프 60g 4종 32각(총96봉)+머그컵 1개+크루통 8봉,식품/건강,가공식품,간편식품,컵수프 머그컵,컵수프,https://image2.lotteimall.com/goods/78/84/78/12788478_1.jpg,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=183671&chl_dtl_no=2605020&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12788478,69900,68900
2024-01-29,4781706488860,17,SK 스토아,2024-01-29 00:41:00,2024-01-29 01:40:58,[비기너스럭] 싱글 흑채의 달인 비기너스럭 볼륨 커버 톡톡(바디1개+ 카트리지3개 +픽서1개),뷰티,헤어/바디케어,헤어/바디케어용품,비기너스럭 카트리지,비기너스럭 흑채의 픽서,http://imagecdn.skstoa.com/goods/271/36313271_g.jpg,http://m.skstoa.com/display/goods/36313271?orderMedia=62&mediaCode=EP01&mediaTarget=001&utm_source=hsmoa&utm_medium=affiliate&utm_campaign=hsmoaonair,79900,65320
2024-01-29,4861706489040,42,NS Shop+,2024-01-29 00:44:00,2024-01-29 01:03:58,완도손질통찜전복(중) 총 20미 (140g(4미)X5팩),식품/건강,수산물,해산물/어패류,완도손질통찜전복,전복,http://product-image.prod-nsmall.com/itemimg2/33/212/33855212_S.jpg,http://mw.nsmall.com/gate.html?co_cd=182&target=/product/33855212,44900,44900
2024-01-29,3151706489460,34,W쇼핑,2024-01-29 00:51:00,2024-01-29 01:51:28,[상조]대명아임레디 THE행복한 더블플랜,여행/보험/렌탈/티켓,보험,보험/상조,대명아임레디,THE행복한 더블플랜,http://img.w-shopping.co.kr/goods2022/454/44/13744454_p.jpg,https://m.w-shopping.co.kr/display/goods/13744454?mediaCode=OT08,0,0
2024-01-29,2231706489700,38,CJ ONSTYLE+,2024-01-29 00:55:00,2024-01-29 01:54:58,[CJ단독] 닥터3링클필 커버팩트 공구구성(본품 10개+리필 15개),뷰티,베이스메이크업,파우더/팩트/쿠션,없음,링클필 커버팩트,http://itemimage.cjonstyle.net/goods_images/20/572/2018246572L.jpg?timestamp=20230706130537,https://display.cjonstyle.com/m/item/2018246572?infl_cd=I0959&utm_medium=pcs&utm_source=livehomeshopping&channelCode=30002002,349500,349500
2024-01-29,3081706489700,2,NS홈쇼핑,2024-01-29 00:55:00,2024-01-29 00:58:58,하나손해보험 건강하면 더 좋은 하나의 보험+(상담완료시)저압력진공냄비,여행/보험/렌탈/티켓,보험,보험/상조,하나손해보험,보험,http://product-image.prod-nsmall.com/itemimg7/33/787/33613787_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33613787,0,1
