sa_id,p_id,brad_date,ch_svc_id,ch_no,ch_nm,prod_id,cw_id
0,0,2024-02-04,395,12,KT알파 쇼핑,3951707042540,4016000
0,0,2024-02-02,395,12,KT알파 쇼핑,3951706838120,4016000
0,0,2024-02-02,362,14,홈&쇼핑,3621706839200,4016000
0,0,2024-02-04,478,17,SK 스토아,4781707054060,4016000
0,0,2024-02-01,308,2,NS홈쇼핑,3081706798100,4016000
0,0,2024-02-02,326,20,신세계쇼핑,3261706891640,4016000
0,0,2024-02-04,719,22,공영쇼핑,7191707046500,4016000
0,0,2024-02-02,719,22,공영쇼핑,7191706906400,4016000
0,0,2024-02-02,231,28,GS MY SHOP,2311706873760,4016000
0,0,2024-02-04,440,32,LOTTE OneTV,4401707043200,4016000
0,0,2024-02-01,440,32,LOTTE OneTV,4401706750400,4016000
0,0,2024-02-03,440,32,LOTTE OneTV,4401706985660,4016000
0,0,2024-02-03,440,32,LOTTE OneTV,4401706996460,4016000
0,0,2024-02-04,315,34,W쇼핑,3151707060060,4016000
0,0,2024-02-01,257,36,현대홈쇼핑+샵,2571706809200,4016000
0,0,2024-02-03,257,36,현대홈쇼핑+샵,2571706971200,4016000
0,0,2024-02-03,270,6,CJ ONSTYLE,2701706929800,4016000
0,0,2024-02-03,310,8,GS SHOP,3101706925600,4016000
0,0,2024-02-03,310,8,GS SHOP,3101706973000,4016000
1,1,2024-02-03,362,14,홈&쇼핑,3621706988600,4016001
1,1,2024-02-01,478,17,SK 스토아,4781706802060,4016001
1,1,2024-02-01,478,17,SK 스토아,4781706798460,4016001
1,1,2024-02-03,326,20,신세계쇼핑,3261706981040,4016001
1,1,2024-02-01,326,20,신세계쇼핑,3261706805240,4016001
1,1,2024-02-02,326,20,신세계쇼핑,3261706895240,4016001
1,1,2024-02-04,326,20,신세계쇼핑,3261707010020,4016001
1,1,2024-02-04,719,22,공영쇼핑,7191707023100,4016001
1,1,2024-02-01,231,28,GS MY SHOP,2311706807880,4016001
1,1,2024-02-01,440,32,LOTTE OneTV,4401706820000,4016001
1,1,2024-02-01,440,32,LOTTE OneTV,4401706750400,4016001
1,1,2024-02-02,257,36,현대홈쇼핑+샵,2571706874000,4016001
1,1,2024-02-04,223,38,CJ ONSTYLE+,2231707065100,4016001
1,1,2024-02-01,223,38,CJ ONSTYLE+,2231706796900,4016001
1,1,2024-02-02,323,4,롯데홈쇼핑,3231706887800,4016001
1,1,2024-02-01,323,4,롯데홈쇼핑,3231706801400,4016001
1,1,2024-02-02,486,42,NS Shop+,4861706899320,4016001
1,1,2024-02-04,486,42,NS Shop+,4861707026460,4016001
1,1,2024-02-03,270,6,CJ ONSTYLE,2701706938200,4016001
2,2,2024-02-02,395,12,KT알파 쇼핑,3951706851740,4014000
2,2,2024-02-02,362,14,홈&쇼핑,3621706848920,4014000
2,2,2024-02-03,478,17,SK 스토아,4781706974860,4014000
2,2,2024-02-01,308,2,NS홈쇼핑,3081706812500,4014000
2,2,2024-02-03,231,28,GS MY SHOP,2311706981880,4014000
2,2,2024-02-04,231,28,GS MY SHOP,2311707082680,4014000
2,2,2024-02-03,231,28,GS MY SHOP,2311706992680,4014000
2,2,2024-02-02,231,28,GS MY SHOP,2311706850240,4014000
2,2,2024-02-03,440,32,LOTTE OneTV,4401706931000,4014000
2,2,2024-02-03,315,34,W쇼핑,3151706940840,4014000
2,2,2024-02-03,223,38,CJ ONSTYLE+,2231706928300,4014000
2,2,2024-02-03,223,38,CJ ONSTYLE+,2231706975100,4014000
2,2,2024-02-02,223,38,CJ ONSTYLE+,2231706906700,4014000
2,2,2024-02-03,310,8,GS SHOP,3101706968200,4014000
3,3,2024-02-01,304,10,현대홈쇼핑,3041706803200,4016001
3,3,2024-02-02,478,17,SK 스토아,4781706899260,4016001
3,3,2024-02-02,478,17,SK 스토아,4781706845260,4016001
3,3,2024-02-01,719,22,공영쇼핑,7191706791200,4016001
3,3,2024-02-02,231,28,GS MY SHOP,2311706873760,4016001
3,3,2024-02-04,231,28,GS MY SHOP,2311707053820,4016001
3,3,2024-02-04,229,30,쇼핑엔티,2291707046440,4016001
3,3,2024-02-01,229,30,쇼핑엔티,2291706776440,4016001
3,3,2024-02-02,229,30,쇼핑엔티,2291706873580,4016001
3,3,2024-02-03,440,32,LOTTE OneTV,4401706985660,4016001
3,3,2024-02-04,440,32,LOTTE OneTV,4401707068460,4016001
3,3,2024-02-04,315,34,W쇼핑,3151707067320,4016001
3,3,2024-02-02,257,36,현대홈쇼핑+샵,2571706892000,4016001
3,3,2024-02-01,257,36,현대홈쇼핑+샵,2571706786400,4016001
3,3,2024-02-04,257,36,현대홈쇼핑+샵,2571707044400,4016001
3,3,2024-02-02,223,38,CJ ONSTYLE+,2231706852700,4016001
3,3,2024-02-02,223,38,CJ ONSTYLE+,2231706895900,4016001
3,3,2024-02-04,223,38,CJ ONSTYLE+,2231707075900,4016001
3,3,2024-02-03,323,4,롯데홈쇼핑,3231706952300,4016001
3,3,2024-02-01,323,4,롯데홈쇼핑,3231706798100,4016001
4,4,2024-02-03,304,10,현대홈쇼핑,3041706931600,410001
4,4,2024-02-04,304,10,현대홈쇼핑,3041707006000,410001
4,4,2024-02-02,478,17,SK 스토아,4781706838060,410001
4,4,2024-02-02,326,20,신세계쇼핑,3261706866320,410001
4,4,2024-02-02,719,22,공영쇼핑,7191706850000,410001
4,4,2024-02-03,231,28,GS MY SHOP,2311706962560,410001
4,4,2024-02-02,229,30,쇼핑엔티,2291706852040,410001
4,4,2024-02-04,440,32,LOTTE OneTV,4401707012000,410001
4,4,2024-02-03,440,32,LOTTE OneTV,4401706927940,410001
4,4,2024-02-02,223,38,CJ ONSTYLE+,2231706917500,410001
4,4,2024-02-04,223,38,CJ ONSTYLE+,2231707007500,410001
4,4,2024-02-01,486,42,NS Shop+,4861706827320,410001
4,4,2024-02-02,270,6,CJ ONSTYLE,2701706858100,410001
4,4,2024-02-01,310,8,GS SHOP,3101706754900,410001
4,4,2024-02-01,310,8,GS SHOP,3101706752800,410001
5,5,2024-02-03,304,10,현대홈쇼핑,3041706976600,410000
5,5,2024-02-02,304,10,현대홈쇼핑,3041706869500,410000
5,5,2024-02-02,395,12,KT알파 쇼핑,3951706880660,410000
5,5,2024-02-02,395,12,KT알파 쇼핑,3951706855340,410000
5,5,2024-02-02,395,12,KT알파 쇼핑,3951706862600,410000
5,5,2024-02-04,395,12,KT알파 쇼핑,3951707031680,410000
5,5,2024-02-04,395,12,KT알파 쇼핑,3951707035280,410000
5,5,2024-02-02,362,14,홈&쇼핑,3621706873820,410000
5,5,2024-02-04,362,14,홈&쇼핑,3621707018120,410000
5,5,2024-02-03,326,20,신세계쇼핑,3261706995500,410000
5,5,2024-02-01,719,22,공영쇼핑,7191706787300,410000
5,5,2024-02-02,231,28,GS MY SHOP,2311706844720,410000
5,5,2024-02-01,231,28,GS MY SHOP,2311706825880,410000
5,5,2024-02-01,229,30,쇼핑엔티,2291706797980,410000
5,5,2024-02-03,440,32,LOTTE OneTV,4401706925600,410000
5,5,2024-02-02,257,36,현대홈쇼핑+샵,2571706859600,410000
5,5,2024-02-04,486,42,NS Shop+,4861707046860,410000
5,5,2024-02-03,486,42,NS Shop+,4861706940060,410000
5,5,2024-02-03,486,42,NS Shop+,4861706932800,410000
5,5,2024-02-02,310,8,GS SHOP,3101706841000,410000
6,6,2024-02-03,304,10,현대홈쇼핑,3041706932800,410001
6,6,2024-02-01,304,10,현대홈쇼핑,3041706787600,410001
6,6,2024-02-02,395,12,KT알파 쇼핑,3951706851740,410001
6,6,2024-02-04,362,14,홈&쇼핑,3621707029400,410001
6,6,2024-02-02,362,14,홈&쇼핑,3621706873820,410001
6,6,2024-02-02,478,17,SK 스토아,4781706884860,410001
6,6,2024-02-03,308,2,NS홈쇼핑,3081706996100,410001
6,6,2024-02-01,326,20,신세계쇼핑,3261706783520,410001
6,6,2024-02-04,326,20,신세계쇼핑,3261707006420,410001
6,6,2024-02-04,231,28,GS MY SHOP,2311707035760,410001
6,6,2024-02-02,231,28,GS MY SHOP,2311706881020,410001
6,6,2024-02-04,440,32,LOTTE OneTV,4401707012000,410001
6,6,2024-02-01,440,32,LOTTE OneTV,4401706773140,410001
6,6,2024-02-03,440,32,LOTTE OneTV,4401706980800,410001
6,6,2024-02-02,440,32,LOTTE OneTV,4401706846340,410001
6,6,2024-02-04,257,36,현대홈쇼핑+샵,2571707026400,410001
6,6,2024-02-02,323,4,롯데홈쇼핑,3231706858100,410001
6,6,2024-02-04,323,4,롯데홈쇼핑,3231707014400,410001
6,6,2024-02-04,486,42,NS Shop+,4861707046800,410001
6,6,2024-02-04,310,8,GS SHOP,3101707029100,410001
7,7,2024-02-03,395,12,KT알파 쇼핑,3951706933760,4016000
7,7,2024-02-03,478,17,SK 스토아,4781707000060,4016000
7,7,2024-02-03,308,2,NS홈쇼핑,3081706976600,4016000
7,7,2024-02-04,326,20,신세계쇼핑,3261707089160,4016000
7,7,2024-02-03,326,20,신세계쇼핑,3261706962920,4016000
7,7,2024-02-04,326,20,신세계쇼핑,3261707010020,4016000
7,7,2024-02-03,326,20,신세계쇼핑,3261706979840,4016000
7,7,2024-02-04,719,22,공영쇼핑,7191707084000,4016000
7,7,2024-02-02,719,22,공영쇼핑,7191706847000,4016000
7,7,2024-02-02,231,28,GS MY SHOP,2311706842260,4016000
7,7,2024-02-02,231,28,GS MY SHOP,2311706888280,4016000
7,7,2024-02-01,229,30,쇼핑엔티,2291706765640,4016000
7,7,2024-02-04,229,30,쇼핑엔티,2291707067920,4016000
7,7,2024-02-03,315,34,W쇼핑,3151706932320,4016000
7,7,2024-02-03,486,42,NS Shop+,4861706983200,4016000
7,7,2024-02-03,486,42,NS Shop+,4861707001320,4016000
7,7,2024-02-02,486,42,NS Shop+,4861706896920,4016000
7,7,2024-02-01,310,8,GS SHOP,3101706812500,4016000
7,7,2024-02-03,310,8,GS SHOP,3101706972400,4016000
8,8,2024-02-04,395,12,KT알파 쇼핑,3951707031680,4016002
8,8,2024-02-03,478,17,SK 스토아,4781706974860,4016002
8,8,2024-02-04,478,17,SK 스토아,4781707050460,4016002
8,8,2024-02-01,308,2,NS홈쇼핑,3081706804400,4016002
8,8,2024-02-02,326,20,신세계쇼핑,3261706906100,4016002
8,8,2024-02-01,326,20,신세계쇼핑,3261706797980,4016002
8,8,2024-02-04,326,20,신세계쇼핑,3261707031200,4016002
8,8,2024-02-04,719,22,공영쇼핑,7191707042000,4016002
8,8,2024-02-03,231,28,GS MY SHOP,2311706981880,4016002
8,8,2024-02-03,231,28,GS MY SHOP,2311706971020,4016002
8,8,2024-02-04,231,28,GS MY SHOP,2311707053820,4016002
8,8,2024-02-04,229,30,쇼핑엔티,2291707067920,4016002
8,8,2024-02-03,440,32,LOTTE OneTV,4401706931000,4016002
8,8,2024-02-02,440,32,LOTTE OneTV,4401706884860,4016002
8,8,2024-02-03,315,34,W쇼핑,3151706940840,4016002
8,8,2024-02-01,486,42,NS Shop+,4861706812920,4016002
8,8,2024-02-03,486,42,NS Shop+,4861706982120,4016002
8,8,2024-02-02,486,42,NS Shop+,4861706870460,4016002
8,8,2024-02-01,310,8,GS SHOP,3101706812500,4016002
8,8,2024-02-03,310,8,GS SHOP,3101706972400,4016002
9,9,2024-02-03,395,12,KT알파 쇼핑,3951706945760,4026000
9,9,2024-02-04,395,12,KT알파 쇼핑,3951707010920,4026000
9,9,2024-02-03,478,17,SK 스토아,4781706949660,4026000
9,9,2024-02-04,478,17,SK 스토아,4781707028860,4026000
9,9,2024-02-04,478,17,SK 스토아,4781707021660,4026000
9,9,2024-02-04,308,2,NS홈쇼핑,3081707028800,4026000
9,9,2024-02-03,308,2,NS홈쇼핑,3081706996100,4026000
9,9,2024-02-02,326,20,신세계쇼핑,3261706866320,4026000
9,9,2024-02-04,719,22,공영쇼핑,7191707019800,4026000
9,9,2024-02-03,719,22,공영쇼핑,7191706922000,4026000
9,9,2024-02-02,229,30,쇼핑엔티,2291706852040,4026000
9,9,2024-02-02,440,32,LOTTE OneTV,4401706877660,4026000
9,9,2024-02-02,257,36,현대홈쇼핑+샵,2571706866800,4026000
9,9,2024-02-04,257,36,현대홈쇼핑+샵,2571707028800,4026000
9,9,2024-02-02,257,36,현대홈쇼핑+샵,2571706874000,4026000
9,9,2024-02-02,323,4,롯데홈쇼핑,3231706887800,4026000
9,9,2024-02-01,323,4,롯데홈쇼핑,3231706812200,4026000
9,9,2024-02-03,270,6,CJ ONSTYLE,2701706944800,4026000
9,9,2024-02-01,270,6,CJ ONSTYLE,2701706749200,4026000
9,9,2024-02-01,310,8,GS SHOP,3101706754900,4026000
